abs_accuracy_gap,abs_first_rank_90_delta,abs_first_rank_95_delta,abs_first_rank_99_delta,abs_first_spectral_entropy_delta,abs_first_stable_rank_delta,abs_first_top1_energy_delta,abs_loss_gap,abs_ppl_gap,accuracy_gap_left_minus_right,accuracy_left,accuracy_right,baseline_loss,final_weight_disagreement,first_rank_90_delta,first_rank_95_delta,first_rank_99_delta,first_spectral_entropy_delta,first_stable_rank_delta,first_top1_energy_delta,layer,left_conditional_hessian_overlap,left_order,loss_gap_left_minus_right,loss_left,loss_right,max_abs_conditional_hessian_overlap,mean_abs_conditional_hessian_overlap,ppl_gap_left_minus_right,ppl_left,ppl_right,right_conditional_hessian_overlap,right_order
0.0,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.00012476869100536288,0.00012493262378598935,0.0,1.0,1.0,0.00045728389501644524,0.37290287017822266,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,-0.0013675837581075003,rq,-0.00012476869100536288,0.0012506461727334992,0.001375414863738862,0.23759613712731456,0.11948186044271103,-0.00012493262378598935,1.0012514285567862,1.0013763611805722,-0.23759613712731456,qr
0.0,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.00012126383724597387,0.00012143093975591768,0.0,1.0,1.0,0.00045728389501644524,0.24027574062347412,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,0.01960831671965112,rs,-0.00012126383724597387,0.00131642665887083,0.0014376904961168038,0.11276460084525541,0.06618645878245327,-0.00012143093975591768,1.0013172935287935,1.0014387244685494,-0.11276460084525541,sr
0.0,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.0008962294564999113,0.0008979084420637218,0.0,1.0,1.0,0.00045728389501644524,0.4102713465690613,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,-0.0013675837581075003,rqs,-0.0008962294564999113,0.0014234872621399848,0.002319716718639896,0.028495568601589333,0.014931576179848416,-0.0008979084420637218,1.001424500901043,1.0023224093431067,-0.028495568601589333,qsr
0.0,25.0,33.0,43.0,0.4518363527889955,1.7633361987589424,0.013204927758324464,0.0002546930038950846,0.0002550628552706602,0.0,1.0,1.0,0.00045728389501644524,0.37548771500587463,-25.0,-33.0,-43.0,-0.4518363527889955,-1.7633361987589424,0.013204927758324464,fc1,0.01960831671965112,rsq,-0.0002546930038950846,0.0013237432497018415,0.0015784362535969261,0.01960831671965112,0.00980415835982556,-0.0002550628552706602,1.0013246197845238,1.0015796826397945,0.0,sqr
0.0,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,7.409971744769359e-05,7.414446022147025e-05,0.0,1.0,1.0,0.00045728389501644524,0.3249257206916809,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,0.029620891649495322,rq,-7.409971744769359e-05,0.000566586098362735,0.0006406858158104285,0.09974491136090044,0.06468290150519788,-7.414446022147025e-05,1.0005667466385846,1.000640891098806,-0.09974491136090044,qr
0.0,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,4.1685335811746755e-05,4.1719612395185734e-05,0.0,1.0,1.0,0.00045728389501644524,0.23877839744091034,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,0.020978116486793347,rs,-4.1685335811746755e-05,0.0008010889578856582,0.000842774293697405,0.04708352525186498,0.03403082086932917,-4.1719612395185734e-05,1.0008014099153444,1.0008431295277396,-0.04708352525186498,sr
0.0,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,0.00035095440957030356,0.0003513976574132105,0.0,1.0,1.0,0.00045728389501644524,0.4165283441543579,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,0.029620891649495322,rqs,-0.00035095440957030356,0.001086699188866796,0.0014376535984370995,0.029620891649495322,0.017321052674332524,-0.0003513976574132105,1.0010872898603718,1.001438687517785,-0.005021213699169724,qsr
0.0,8.0,12.0,24.0,0.2191108487377731,0.8330431439845984,0.004409426734459751,0.00014817168876929496,0.0001483095767682574,0.0,1.0,1.0,0.00045728389501644524,0.3303353488445282,-8.0,-12.0,-24.0,-0.2191108487377731,-0.8330431439845984,0.004409426734459751,fc2,0.020978116486793347,rsq,-0.00014817168876929496,0.0008560766267856643,0.0010042483155549592,0.020978116486793347,0.010489058243396673,-0.0001483095767682574,1.0008564431649687,1.001004752741737,0.0,sqr
0.008404645476772665,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.034378092562948284,0.036021242482772164,-0.008404645476772665,0.9896088019559902,0.9980134474327629,0.00045728389501644524,0.31568804383277893,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,-0.030396921971725603,rq,0.034378092562948284,0.06382911887320446,0.029451026310256173,0.10090786714484036,0.06565239455828298,0.036021242482772164,1.0659102392553907,1.0298889967726186,-0.10090786714484036,qr
0.0021393643031785148,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.013329337817823972,0.014024918250319818,0.0021393643031785148,0.9917481662591687,0.9896088019559902,0.00045728389501644524,0.2548794746398926,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,0.11893340957633466,rs,0.013329337817823972,0.05752543161434183,0.04419609379651786,0.11893340957633466,0.07583385899430367,0.014024918250319818,1.059212207788578,1.0451872895382581,-0.032734308412272664,sr
0.0003056234718826767,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.02229984946239258,0.024327784350979487,-0.0003056234718826767,0.9792176039119804,0.9795232273838631,0.00045728389501644524,0.47266885638237,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,-0.030396921971725603,rqs,0.02229984946239258,0.09816836290662621,0.07586851344423363,0.053879169424688775,0.042138045698207185,0.024327784350979487,1.1031484987621156,1.0788207144111361,0.053879169424688775,qsr
0.0062652811735940395,8.0,10.0,13.0,0.5333433106501411,2.1976880439321747,0.030908998328828943,0.03200863043078583,0.034023030575255575,-0.0062652811735940395,0.9853300733496333,0.9915953545232273,0.00045728389501644524,0.33879557251930237,-8.0,-10.0,-13.0,-0.5333433106501411,-2.1976880439321747,0.030908998328828943,head,0.11893340957633466,rsq,0.03200863043078583,0.07699372366180046,0.044985093231014635,0.11893340957633466,0.05946670478816733,0.034023030575255575,1.0800352977045318,1.0460122671292762,0.0,sqr
