accuracy,layer,loss,pair,perplexity,x,x_level,x_op,y,y_level,y_op
1.0,fc2,0.0011850963722377069,qs,1.0011857988764277,-0.5,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0007655567337000574,qs,1.0007658498470497,-0.375,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0005334214999597784,qs,1.0005335637945079,-0.25,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.00040214443476847887,qs,1.000402225305682,-0.125,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0003285098247102537,qs,1.000328563789972,0.0,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0002907677564979474,qs,1.0002908100335395,0.125,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.00027854528282666557,qs,1.0002785840801662,0.25,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.00028839828856380467,qs,1.0002884398793483,0.375,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0003223512896671345,qs,1.0003224032504272,0.5,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.00038854928612071466,qs,1.0003886247811722,0.625,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0005040333553930075,qs,1.000504160401549,0.75,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0007003823541159443,qs,1.0007006276791073,0.875,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0010342335551612827,qs,1.0010347685591083,1.0,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0016059464841060942,qs,1.0016072367067448,1.125,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.002590925535209896,qs,1.0025942848834215,1.25,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.004289012666436454,qs,1.0042982236452231,1.375,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0071887828427888364,qs,1.0072146841713117,1.5,bits2,q,-0.5,keep0.45,s
1.0,fc2,0.0011518095986585162,qs,1.0011524731860852,-0.5,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.000758873373907615,qs,1.000759161391158,-0.375,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.000539937185255633,qs,1.0005400829775761,-0.25,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0004161681204551517,qs,1.0004162547304218,-0.125,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0003478426667280987,qs,1.0003479031710036,0.0,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.00031505991570414713,qs,1.0003151095522922,0.125,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0003088103501413081,qs,1.0003088580369661,0.25,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.000327035751703826,qs,1.0003270892337253,0.375,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.00037375580483004633,qs,1.0003738256602335,0.5,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0004604597938017041,qs,1.0004605658216859,0.625,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.000609896770817362,qs,1.0006100827956697,0.75,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0008637590634392934,qs,1.000864132210728,0.875,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.001296361840004443,qs,1.0012972024802334,1.0,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0020388364245372765,qs,1.0020409162647648,1.125,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0033189578478231407,qs,1.0033244716867997,1.25,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.005519509397465326,qs,1.005534769953468,1.375,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.009239007598176271,qs,1.0092818189721735,1.5,bits2,q,-0.375,keep0.45,s
1.0,fc2,0.0011372697564675347,qs,1.0011379166929408,-0.5,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0007643246110118835,qs,1.0007646167815003,-0.375,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0005555356713808836,qs,1.0005556900099009,-0.25,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.00043793991868427447,qs,1.0004380358283709,-0.125,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.00037457535617181024,qs,1.0003746455182807,0.0,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0003471851649450498,qs,1.0003472454406899,0.125,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.00034811178422680986,qs,1.0003481723821654,0.25,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.00037700818592003915,qs,1.000377079262438,0.375,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.00044049818779189314,qs,1.0004405952213657,0.5,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0005545171619846069,qs,1.0005546709350481,0.625,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0007495676647771541,qs,1.0007498486608233,0.75,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0010810215982510582,qs,1.0010816061127044,0.875,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0016470890888411432,qs,1.0016484462851132,1.0,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0026201393801381944,qs,1.0026235749452217,1.125,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.004296038281582387,qs,1.00430527948282,1.25,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.007157388099977032,qs,1.0071830634217112,1.375,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.011915178691699627,qs,1.0119864472110938,1.5,bits2,q,-0.25,keep0.45,s
1.0,fc2,0.0011408672529138388,qs,1.0011415182895167,-0.5,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0007824147846504207,qs,1.0007827209509426,-0.375,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.000581231473746976,qs,1.000581400421491,-0.25,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.000468774648579088,qs,1.0004688845405856,-0.125,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0004103241299340515,qs,1.0004104083243952,0.0,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.00038911431770507603,qs,1.0003891900325015,0.125,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0003990401806478323,qs,1.0003991198077717,0.25,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.00044188052894032965,qs,1.000441978172523,0.375,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0005277577482510021,qs,1.0005278970368738,0.5,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0006785923068600645,qs,1.000678822602709,0.625,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0009355703437095166,qs,1.0009360081261582,0.75,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0013726577686469245,qs,1.0013736002945277,0.875,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0021205141475483373,qs,1.002122764027693,1.0,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.003406347911850456,qs,1.0034121561079385,1.125,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.005611690157491595,qs,1.005627465185088,1.25,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.009330942170252718,qs,1.0093746111296436,1.375,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.015373898201000429,qs,1.0154926845295698,1.5,bits2,q,-0.125,keep0.45,s
1.0,fc2,0.0011629875166419084,qs,1.0011636640488646,-0.5,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0008143449741846046,qs,1.0008146766430779,-0.375,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0006186150692968031,qs,1.0006188064510606,-0.25,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0005105423347109105,qs,1.0005106726836306,-0.125,bits2,q,0.0,keep0.45,s
1.0,fc2,0.00045728389501644524,qs,1.0004573884652357,0.0,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0004435912125304451,qs,1.0004436896136617,0.125,bits2,q,0.0,keep0.45,s
1.0,fc2,0.00046516883968031786,qs,1.0004652770474827,0.25,bits2,q,0.0,keep0.45,s
1.0,fc2,0.000526619701666762,qs,1.0005267583901662,0.375,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0006427845592020776,qs,1.0006429911894674,0.5,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0008438639342784882,qs,1.0008442200876229,0.625,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0011856642376385574,qs,1.0011863674153643,0.75,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0017677791152504662,qs,1.0017693425578886,0.875,bits2,q,0.0,keep0.45,s
1.0,fc2,0.002764709348492051,qs,1.0027685346818822,1.0,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0044749124034838455,qs,1.004484939775618,1.125,bits2,q,0.0,keep0.45,s
1.0,fc2,0.007382089240262444,qs,1.0074094040330825,1.25,bits2,q,0.0,keep0.45,s
1.0,fc2,0.01219296415306828,qs,1.0122676013816938,1.375,bits2,q,0.0,keep0.45,s
1.0,fc2,0.019785671806860087,qs,1.0199827055475124,1.5,bits2,q,0.0,keep0.45,s
1.0,fc2,0.0012051383885019857,qs,1.0012058648595732,-0.5,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0008621837973394283,qs,1.0008625555846316,-0.375,bits2,q,0.125,keep0.45,s
1.0,fc2,0.000670024350941327,qs,1.0006702488673977,-0.25,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005658789011843339,qs,1.0005660390408548,-0.125,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005185449675800311,qs,1.0005186794352632,0.0,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005144150836579957,qs,1.0005145474177877,0.125,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0005515226069610101,qs,1.000551674723518,0.25,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0006382243848954553,qs,1.000638428093413,0.375,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0007958940701663931,qs,1.0007962108778947,0.5,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0010662197219640528,qs,1.0010667883362832,0.625,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0015252983530022405,qs,1.001526462212204,0.75,bits2,q,0.125,keep0.45,s
1.0,fc2,0.002307840811958523,qs,1.0023105059263908,0.875,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0036467259526617077,qs,1.003653383347854,1.0,bits2,q,0.125,keep0.45,s
1.0,fc2,0.005929318828221347,qs,1.0059469320333334,1.125,bits2,q,0.125,keep0.45,s
1.0,fc2,0.00975152669806935,qs,1.0097992277611891,1.25,bits2,q,0.125,keep0.45,s
1.0,fc2,0.01591654242105181,qs,1.0160438853047657,1.375,bits2,q,0.125,keep0.45,s
0.9940403422982885,fc2,0.025332128979757538,qs,1.0256557139466806,1.5,bits2,q,0.125,keep0.45,s
1.0,fc2,0.0012700701756334538,qs,1.0012708770563212,-0.5,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0009289802869549591,qs,1.0009294119227918,-0.375,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0007387217097804133,qs,1.000738994631863,-0.25,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0006384024633354254,qs,1.0006386062855592,-0.125,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0005983310321250288,qs,1.0005985100678427,0.0,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0006068782165901585,qs,1.000607062404433,0.125,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0006651064804538829,qs,1.0006653277128141,0.25,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0007865874388216468,qs,1.00078689687985,0.375,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0010017802310346973,qs,1.0010022821804507,0.5,bits2,q,0.25,keep0.45,s
1.0,fc2,0.001368453981204546,qs,1.0013693907416097,0.625,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0019908486512514663,qs,1.0019928317061966,0.75,bits2,q,0.25,keep0.45,s
1.0,fc2,0.003051342255911792,qs,1.0030560023393242,0.875,bits2,q,0.25,keep0.45,s
1.0,fc2,0.004858157508676384,qs,1.0048699774892234,1.0,bits2,q,0.25,keep0.45,s
1.0,fc2,0.007902644793241122,qs,1.007933953109097,1.125,bits2,q,0.25,keep0.45,s
1.0,fc2,0.01289041719255937,qs,1.0129738567584061,1.25,bits2,q,0.25,keep0.45,s
0.9980134474327629,fc2,0.020690651241607946,qs,1.0209061867225406,1.375,bits2,q,0.25,keep0.45,s
0.9920537897310513,fc2,0.03220585520518147,qs,1.0327300762866973,1.5,bits2,q,0.25,keep0.45,s
1.0,fc2,0.0013619777575718162,qs,1.0013629056704956,-0.5,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0010190294545444417,qs,1.0010195488414675,-0.375,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0008292366980522652,qs,1.0008295806098577,-0.25,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0007331265525978906,qs,1.0007333953555537,-0.125,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0007025727314514753,qs,1.0007028195934824,0.0,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0007284214893187463,qs,1.00072868685268,0.125,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0008159075023419699,qs,1.0008162404454122,0.25,bits2,q,0.375,keep0.45,s
1.0,fc2,0.00098588576763504,qs,1.0009863719127565,0.375,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0012815671592659355,qs,1.001282388717381,0.5,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0017833000590938227,qs,1.0017848910842622,0.625,bits2,q,0.375,keep0.45,s
1.0,fc2,0.002634148552904502,qs,1.002637620970489,0.75,bits2,q,0.375,keep0.45,s
1.0,fc2,0.004079599006324642,qs,1.0040879318981164,0.875,bits2,q,0.375,keep0.45,s
1.0,fc2,0.006520205302605711,qs,1.0065415081156033,1.0,bits2,q,0.375,keep0.45,s
1.0,fc2,0.010558385666104576,qs,1.0106143221128967,1.125,bits2,q,0.375,keep0.45,s
1.0,fc2,0.01699110594165937,qs,1.0171362758156333,1.25,bits2,q,0.375,keep0.45,s
0.9960268948655256,fc2,0.02671784453986618,qs,1.0270779662197784,1.375,bits2,q,0.375,keep0.45,s
0.9920537897310513,fc2,0.04060819861649884,qs,1.041443986405166,1.5,bits2,q,0.375,keep0.45,s
1.0,fc2,0.0014868252899288257,qs,1.001487931162662,-0.5,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0011383013430900854,qs,1.0011389494539558,-0.375,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0009478178458210892,qs,1.0009482671671026,-0.25,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0008570020471888532,qs,1.0008573693783702,-0.125,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0008395594968244178,qs,1.0008399120255482,0.0,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0008895751680896452,qs,1.0008899709574322,0.125,bits2,q,0.5,keep0.45,s
1.0,fc2,0.001018183631480906,qs,1.0010187021564043,0.25,bits2,q,0.5,keep0.45,s
1.0,fc2,0.001256440996140023,qs,1.001257230648811,0.375,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0016656722714054263,qs,1.0016670602740088,0.5,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0023577350321565107,qs,1.0023605166750935,0.625,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0035282031594249612,qs,1.0035344345946267,0.75,bits2,q,0.5,keep0.45,s
1.0,fc2,0.005502741337551173,qs,1.005517909227561,0.875,bits2,q,0.5,keep0.45,s
1.0,fc2,0.008786978049791238,qs,1.008825696865452,1.0,bits2,q,0.5,keep0.45,s
1.0,fc2,0.01408805062397768,qs,1.0141877548718004,1.125,bits2,q,0.5,keep0.45,s
0.9980134474327629,fc2,0.022264242500139624,qs,1.022513940415568,1.25,bits2,q,0.5,keep0.45,s
0.9920537897310513,fc2,0.03421288393528945,qs,1.0348048766157165,1.375,bits2,q,0.5,keep0.45,s
0.9920537897310513,fc2,0.050742487525590185,qs,1.0520519418992544,1.5,bits2,q,0.5,keep0.45,s
1.0,fc2,0.0016528829877563095,qs,1.0016542497517718,-0.5,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0012949903411358084,qs,1.0012958292031946,-0.375,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0011031203595853085,qs,1.0011037290206375,-0.25,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0010197971444258188,qs,1.0010203173143413,-0.125,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0010209976807054506,qs,1.0010215190762703,0.0,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0011054035276174545,qs,1.0011060147112776,0.125,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0012923869780267071,qs,1.0012932224699647,0.25,bits2,q,0.625,keep0.45,s
1.0,fc2,0.0016276157076281557,qs,1.0016289409929948,0.375,bits2,q,0.625,keep0.45,s
1.0,fc2,0.002197930256865718,qs,1.0022003474762082,0.5,bits2,q,0.625,keep0.45,s
1.0,fc2,0.003158535553292715,qs,1.0031635289826375,0.625,bits2,q,0.625,keep0.45,s
