artifact_alignment_padding_bytes,artifact_container_bytes,artifact_file_bytes,artifact_logical_payload_bits,artifact_natural_file_bytes,artifact_path,artifact_physical_compression_ratio,artifact_scope,artifact_sha256,artifact_stream_bytes,artifact_tail_padding_bytes,artifact_to_reference_file_ratio,artifact_total_overhead_bytes,production_backend,ql_budget_file_bytes,reference_artifact_file_bytes,roundtrip_exact_fp16_endpoint,same_physical_bytes_as_ql,strategy,target_ratio,under_ql_serialized_cap_before_padding
2,10048,15779648,126156800,15779648,artifacts/Q.hrc,3.987370060472832,selected_linear_weights_only,94600e2b661953dde34baccc3c2f7419d549558de22bc05ba039917dc6d88b2e,15769600,0,0.25079187154287297,10048,False,16196352,62919296,True,False,Q,0.258,not_applicable
2,10048,15779648,126156800,15779648,artifacts/Q_global_scale.hrc,3.987370060472832,selected_linear_weights_only,f4a4795dd1b481ca539a07b09accdd73fff0e3f98446b1cc87044ba1059ebbd7,15769600,0,0.25079187154287297,10048,False,16196352,62919296,True,False,Q_global_scale,0.258,not_applicable
31,10112,16230272,129761280,16230272,artifacts/Q_block_scale.hrc,3.876663065166129,selected_linear_weights_only,d40ed1dcde23cf1d8fe706965189d06cafa758fc3c68d5b5868294edb8dd7155,16220160,0,0.2579538080019204,10112,False,16196352,62919296,True,False,Q_block_scale,0.258,not_applicable
1686,20672,16254218,129855360,16254218,artifacts/Q_S.hrc,3.8709518969168495,selected_linear_weights_only,39500f98b4e6df505d1e2c03895948c500613a84341a3600c2c3209cee11b23f,16231920,0,0.2583343907725859,22298,False,16196352,62919296,True,False,Q+S,0.258,not_applicable
1686,20672,16254218,129855360,16254218,artifacts/Q_S_OBS.hrc,3.8709518969168495,selected_linear_weights_only,75669199b51bdf92d38a5ecfc80d58f46a11abef6001aaa68b5cad6897492a1e,16231920,0,0.2583343907725859,22298,False,16196352,62919296,True,False,Q+S_OBS,0.258,not_applicable
22,17152,16196352,129433600,16196352,artifacts/Q_L.hrc,3.8847819558379566,selected_linear_weights_only,2a96d95a7cdddd14b310cbc7554e9eb9374e6b1a2458e68b874633b90dac6cc0,16179200,0,0.25741470470362543,17152,False,16196352,62919296,True,True,Q+L,0.258,not_applicable
636,27648,16196352,129336640,16195328,artifacts/Q_S_L_QL_budget.hrc,3.8847819558379566,selected_linear_weights_only,6f05da8433721c8d2adce6f303aafd9fb57ade866c8e557793ce0301590b816b,16167080,1024,0.25741470470362543,29272,False,16196352,62919296,True,True,Q+S+L_QL_budget,0.258,True
636,27648,16196352,129336640,16195328,artifacts/Q_S_L_QL_budget_component_scale.hrc,3.8847819558379566,selected_linear_weights_only,95336e620bcd40abf865f83534efd82c0614d9a353467f563174e3341def0c11,16167080,1024,0.25741470470362543,29272,False,16196352,62919296,True,True,Q+S+L_QL_budget_component_scale,0.258,True
1696,27648,16261248,129855360,16261248,artifacts/Q_S_L.hrc,3.8692784219267797,selected_linear_weights_only,7fba3879c5dde24e3112996646aac12b4791d195208dc937c47da1cbca58872c,16231920,0,0.25844612120262755,29328,False,16196352,62919296,True,False,Q+S+L,0.258,not_applicable
1696,27648,16261248,129855360,16261248,artifacts/Q_S_OBS_L.hrc,3.8692784219267797,selected_linear_weights_only,9a88723f8c752c119ba83c26f46b355e104928bb78efc72feed3ff1be9c6d2d0,16231920,0,0.25844612120262755,29328,False,16196352,62919296,True,False,Q+S_OBS+L,0.258,not_applicable
1696,27648,16261248,129855360,16261248,artifacts/Q_S_L_component_scale.hrc,3.8692784219267797,selected_linear_weights_only,02b1db523dc5a870c3dc7590c2e28351b0cad2d00c405c074241480a05635b14,16231920,0,0.25844612120262755,29328,False,16196352,62919296,True,False,Q+S+L_component_scale,0.258,not_applicable
