batch_index,nll,nll_sum,perplexity,sequence_index,strategy,tokens,window_index
0,3.905450775867372,495.99224853515625,49.67246601519309,0,dense,127,0
1,3.5648448073019194,452.73529052734375,35.33396940470654,0,dense,127,1
2,4.109221210629921,521.87109375,60.89927139152544,0,dense,127,2
3,4.528147780050443,575.0747680664062,92.58691084085746,0,dense,127,3
4,4.497672013410433,571.204345703125,89.80781636174041,0,dense,127,4
5,4.150277205339567,527.085205078125,63.45158697916436,0,dense,127,5
6,4.337356687530758,550.8442993164062,76.50504508876917,0,dense,127,6
7,4.072208434578002,517.1704711914062,58.68642471455965,0,dense,127,7
8,5.0657973402128444,643.3562622070312,158.50677552775355,0,dense,127,8
9,4.286774883120079,544.42041015625,72.73152217872621,0,dense,127,9
10,4.265540896438238,541.7236938476562,71.2034232373365,0,dense,127,10
11,4.485835999015748,569.701171875,88.75111565310702,0,dense,127,11
12,4.207646407480315,534.37109375,67.1981963729262,0,dense,127,12
13,4.320531169260581,548.7074584960938,75.22857678888454,0,dense,127,13
14,4.118259219672736,523.0189208984375,61.4521743644178,0,dense,127,14
15,4.366458922859252,554.540283203125,78.76422709082767,0,dense,127,15
0,4.102616918368603,521.0323486328125,60.49839999773178,0,Q,127,0
1,3.7376064991387796,474.676025390625,41.99734907959007,0,Q,127,1
2,4.340960164708416,551.3019409179688,76.78122658072134,0,Q,127,2
3,4.683228500246063,594.77001953125,108.11857053739428,0,Q,127,3
4,4.703159602608268,597.30126953125,110.29511120961915,0,Q,127,4
5,4.394610547643947,558.1155395507812,81.01307388568044,0,Q,127,5
6,4.539054329939715,576.4598999023438,93.60224141513423,0,Q,127,6
7,4.223468450110729,536.3804931640625,68.26986473545445,0,Q,127,7
8,5.242428757074311,665.7884521484375,189.1288931717255,0,Q,127,8
9,4.5400765486589565,576.5897216796875,93.69797229908654,0,Q,127,9
10,4.448893869955708,565.009521484375,85.53228183082655,0,Q,127,10
11,4.736921175258366,601.5889892578125,114.08242064269993,0,Q,127,11
12,4.382102185346949,556.5269775390625,80.00604428216731,0,Q,127,12
13,4.5427630567175195,576.930908203125,93.95003108411848,0,Q,127,13
14,4.308787428487943,547.2160034179688,74.35027922802956,0,Q,127,14
15,4.527482160433071,574.990234375,92.52530368243116,0,Q,127,15
0,4.098284383458416,520.4821166992188,60.23685555206954,0,Q_global_scale,127,0
1,3.733602208415354,474.16748046875,41.829515735272146,0,Q_global_scale,127,1
2,4.3255009688730315,549.338623046875,75.6033783134589,0,Q_global_scale,127,2
3,4.679583692175197,594.30712890625,107.72521638454808,0,Q_global_scale,127,3
4,4.712628221887303,598.5037841796875,111.34441350842356,0,Q_global_scale,127,4
5,4.389602781280758,557.4795532226562,80.60839345752017,0,Q_global_scale,127,5
6,4.5265368363988685,574.8701782226562,92.43787861810603,0,Q_global_scale,127,6
7,4.220818467027559,536.0439453125,68.08919024671545,0,Q_global_scale,127,7
8,5.236801027312992,665.07373046875,188.0675162434291,0,Q_global_scale,127,8
9,4.5309212752214565,575.427001953125,92.84405662242905,0,Q_global_scale,127,9
10,4.436694528174213,563.460205078125,84.49518311433411,0,Q_global_scale,127,10
11,4.732992818036418,601.090087890625,113.63514324955786,0,Q_global_scale,127,11
12,4.386679822065699,557.1083374023438,80.37312242237937,0,Q_global_scale,127,12
13,4.536431740588091,576.1268310546875,93.35708278922786,0,Q_global_scale,127,13
14,4.30738890640379,547.0383911132812,74.2463713962008,0,Q_global_scale,127,14
15,4.533181978961614,575.714111328125,93.05418696021286,0,Q_global_scale,127,15
