family,n,spearman_rho,x,y
additivity,36,0.06537966537966539,abs_rho_h,abs_additivity_error
additivity_signed,36,0.364993564993565,rho_h,additivity_error
real_ppl,36,0.2931788931788932,abs_rho_h,ppl_degradation_pair
real_zero_shot,36,0.040039203974512064,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,36,0.461003861003861,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,36,0.10115830115830116,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,36,-0.011583011583011582,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,36,0.44787644787644787,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,36,0.14414414414414414,trace_only_cost,loss_degradation_pair
order_gap,24,-0.01391304347826087,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,24,-0.2756521739130435,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,24,-0.01391304347826087,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,24,0.3634782608695652,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,24,0.36434782608695654,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,24,0.4747826086956522,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,24,0.28956521739130436,final_weight_disagreement,abs_loss_gap
