abs_rho_h,layer,layer_short,pair,rho_h
0.014921477657943992,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,qs,0.014921477657943992
0.00011209874216773209,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,qr,-0.00011209874216773209
0.08432163165014843,gpt_neox.layers.0.mlp.dense_4h_to_h,L0:dense_4h_to_h,sr,0.08432163165014843
0.01625442601611012,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,qs,0.01625442601611012
2.7415446033662406e-06,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,qr,2.7415446033662406e-06
0.06135500080408444,gpt_neox.layers.0.mlp.dense_h_to_4h,L0:dense_h_to_4h,sr,0.06135500080408444
0.08009649280172199,gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,qs,0.08009649280172199
0.0011178886421089162,gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,qr,0.0011178886421089162
0.05794094929260101,gpt_neox.layers.3.mlp.dense_4h_to_h,L3:dense_4h_to_h,sr,0.05794094929260101
0.019547725664814313,gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,qs,0.019547725664814313
0.0004246278763417733,gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,qr,0.0004246278763417733
0.05184596339291332,gpt_neox.layers.3.mlp.dense_h_to_4h,L3:dense_h_to_4h,sr,0.05184596339291332
0.03785519111423265,gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,qs,0.03785519111423265
0.0003236095554024387,gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,qr,-0.0003236095554024387
0.05858967036493013,gpt_neox.layers.5.mlp.dense_4h_to_h,L5:dense_4h_to_h,sr,0.05858967036493013
0.024806819108926917,gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,qs,0.024806819108926917
1.4483515480368224e-05,gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,qr,1.4483515480368224e-05
0.05111324157006881,gpt_neox.layers.5.mlp.dense_h_to_4h,L5:dense_h_to_4h,sr,0.05111324157006881
