family,n,spearman_rho,x,y
additivity,3,0.4999999999999999,abs_rho_h,abs_additivity_error
additivity_signed,3,-0.4999999999999999,rho_h,additivity_error
real_ppl,3,-0.4999999999999999,abs_rho_h,ppl_degradation_pair
real_zero_shot,3,0.4999999999999999,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,3,-0.9999999999999998,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,3,-0.4999999999999999,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,3,-0.4999999999999999,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,3,-0.9999999999999998,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,3,-0.4999999999999999,trace_only_cost,loss_degradation_pair
order_gap,2,-0.9999999999999998,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,2,-0.9999999999999998,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,2,0.9999999999999998,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,2,0.9999999999999998,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,2,0.9999999999999998,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,2,0.9999999999999998,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,2,-0.9999999999999998,final_weight_disagreement,abs_loss_gap
