family,n,spearman_rho,x,y
additivity,12,0.11888111888111888,abs_rho_h,abs_additivity_error
additivity_signed,12,-0.3776223776223776,rho_h,additivity_error
real_ppl,12,0.027972027972027972,abs_rho_h,ppl_degradation_pair
real_zero_shot,12,-0.35846408954943243,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,12,0.5384615384615384,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,12,0.4755244755244755,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,12,-0.3986013986013986,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,12,0.5384615384615384,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,12,0.5804195804195804,trace_only_cost,loss_degradation_pair
order_gap,8,0.14285714285714285,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,8,-0.11904761904761904,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,8,0.023809523809523808,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,8,0.0,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,8,0.5476190476190477,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,8,0.0,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,8,-0.16666666666666666,final_weight_disagreement,abs_loss_gap
