accuracy,candidate_index,examples,layer,pair,scope,status,strategy,task
1.0,,1,gpt_neox.layers.0.attention.dense,qs,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.attention.dense,qs,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.attention.dense,qr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.attention.dense,qr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.attention.dense,sr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.attention.dense,sr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.attention.query_key_value,qs,additivity_pair,ok,,arc_easy
1.0,,1,gpt_neox.layers.0.attention.query_key_value,qs,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.attention.query_key_value,qr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.attention.query_key_value,qr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.attention.query_key_value,sr,additivity_pair,ok,,arc_easy
1.0,,1,gpt_neox.layers.0.attention.query_key_value,sr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.mlp.dense_4h_to_h,qs,additivity_pair,ok,,arc_easy
1.0,,1,gpt_neox.layers.0.mlp.dense_4h_to_h,qs,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.mlp.dense_4h_to_h,qr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.mlp.dense_4h_to_h,qr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.mlp.dense_4h_to_h,sr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.mlp.dense_4h_to_h,sr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.mlp.dense_h_to_4h,qs,additivity_pair,ok,,arc_easy
1.0,,1,gpt_neox.layers.0.mlp.dense_h_to_4h,qs,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.mlp.dense_h_to_4h,qr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.mlp.dense_h_to_4h,qr,additivity_pair,ok,,hellaswag
1.0,,1,gpt_neox.layers.0.mlp.dense_h_to_4h,sr,additivity_pair,ok,,arc_easy
0.0,,1,gpt_neox.layers.0.mlp.dense_h_to_4h,sr,additivity_pair,ok,,hellaswag
1.0,,1,,,strategy,ok,fixed_qsr_naive,arc_easy
1.0,,1,,,strategy,ok,fixed_qsr_naive,hellaswag
1.0,,1,,,strategy,ok,fixed_qsr_default,arc_easy
1.0,,1,,,strategy,ok,fixed_qsr_default,hellaswag
1.0,,1,,,strategy,ok,slim_like_srq_proxy,arc_easy
1.0,,1,,,strategy,ok,slim_like_srq_proxy,hellaswag
1.0,,1,,,strategy,ok,hessian_layerwise,arc_easy
1.0,,1,,,strategy,ok,hessian_layerwise,hellaswag
1.0,,1,,,strategy,ok,fixed_qsr_rotated_q,arc_easy
0.0,,1,,,strategy,ok,fixed_qsr_rotated_q,hellaswag
1.0,,1,,,strategy,ok,spq_like_rsq_no_lora,arc_easy
1.0,,1,,,strategy,ok,spq_like_rsq_no_lora,hellaswag
1.0,,1,,,strategy,ok,hessian_guided_spq_no_lora,arc_easy
1.0,,1,,,strategy,ok,hessian_guided_spq_no_lora,hellaswag
1.0,1,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,1,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,2,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,2,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,3,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,3,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,4,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,4,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,5,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,5,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,6,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,6,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,7,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,7,1,,,strategy,ok,low_loss_triple_stack,hellaswag
1.0,8,1,,,strategy,ok,low_loss_triple_stack,arc_easy
0.0,8,1,,,strategy,ok,low_loss_triple_stack,hellaswag
