abs_rho_h,layer,layer_short,pair,rho_h
0.30800101100608124,model.layers.0.mlp.down_proj,L0:down_proj,qs,0.30800101100608124
0.0009800210528316232,model.layers.0.mlp.down_proj,L0:down_proj,qr,0.0009800210528316232
0.003412168953564093,model.layers.0.mlp.down_proj,L0:down_proj,sr,-0.003412168953564093
0.24077246090959822,model.layers.0.mlp.up_proj,L0:up_proj,qs,0.24077246090959822
0.0008576947986752902,model.layers.0.mlp.up_proj,L0:up_proj,qr,0.0008576947986752902
0.004899563435712936,model.layers.0.mlp.up_proj,L0:up_proj,sr,-0.004899563435712936
0.23217995644237818,model.layers.0.self_attn.o_proj,L0:o_proj,qs,0.23217995644237818
0.001289065182125813,model.layers.0.self_attn.o_proj,L0:o_proj,qr,-0.001289065182125813
0.004642665383856543,model.layers.0.self_attn.o_proj,L0:o_proj,sr,0.004642665383856543
0.11278361218498806,model.layers.0.self_attn.q_proj,L0:q_proj,qs,0.11278361218498806
0.016505663520173658,model.layers.0.self_attn.q_proj,L0:q_proj,qr,-0.016505663520173658
0.045334277844485724,model.layers.0.self_attn.q_proj,L0:q_proj,sr,-0.045334277844485724
0.35767710606512965,model.layers.14.mlp.down_proj,L14:down_proj,qs,0.35767710606512965
0.0037788369151932773,model.layers.14.mlp.down_proj,L14:down_proj,qr,0.0037788369151932773
0.005375132697972522,model.layers.14.mlp.down_proj,L14:down_proj,sr,-0.005375132697972522
0.3595767463821252,model.layers.14.mlp.up_proj,L14:up_proj,qs,0.3595767463821252
0.0003609928803334715,model.layers.14.mlp.up_proj,L14:up_proj,qr,0.0003609928803334715
0.00857318473956543,model.layers.14.mlp.up_proj,L14:up_proj,sr,-0.00857318473956543
0.19895069709969268,model.layers.14.self_attn.o_proj,L14:o_proj,qs,0.19895069709969268
0.003497261346616563,model.layers.14.self_attn.o_proj,L14:o_proj,qr,-0.003497261346616563
0.007401873920023397,model.layers.14.self_attn.o_proj,L14:o_proj,sr,-0.007401873920023397
0.15892482266790336,model.layers.14.self_attn.q_proj,L14:q_proj,qs,0.15892482266790336
0.012746674372408234,model.layers.14.self_attn.q_proj,L14:q_proj,qr,-0.012746674372408234
0.01710653871537325,model.layers.14.self_attn.q_proj,L14:q_proj,sr,-0.01710653871537325
0.2955798994414026,model.layers.27.mlp.down_proj,L27:down_proj,qs,0.2955798994414026
0.006358915417714977,model.layers.27.mlp.down_proj,L27:down_proj,qr,0.006358915417714977
0.020588023495926103,model.layers.27.mlp.down_proj,L27:down_proj,sr,0.020588023495926103
0.22804093694848315,model.layers.27.mlp.up_proj,L27:up_proj,qs,0.22804093694848315
0.001124114487188101,model.layers.27.mlp.up_proj,L27:up_proj,qr,0.001124114487188101
0.004038658052994262,model.layers.27.mlp.up_proj,L27:up_proj,sr,-0.004038658052994262
0.1899995406529626,model.layers.27.self_attn.o_proj,L27:o_proj,qs,0.1899995406529626
0.0023880146457248477,model.layers.27.self_attn.o_proj,L27:o_proj,qr,-0.0023880146457248477
0.003102450001384163,model.layers.27.self_attn.o_proj,L27:o_proj,sr,0.003102450001384163
0.11933102713257099,model.layers.27.self_attn.q_proj,L27:q_proj,qs,0.11933102713257099
0.006567239159994894,model.layers.27.self_attn.q_proj,L27:q_proj,qr,-0.006567239159994894
0.004503095863406016,model.layers.27.self_attn.q_proj,L27:q_proj,sr,-0.004503095863406016
