family,n,spearman_rho,x,y
additivity,6,0.7142857142857143,abs_rho_h,abs_additivity_error
additivity_signed,6,0.9428571428571428,rho_h,additivity_error
real_ppl,6,0.6,abs_rho_h,ppl_degradation_pair
real_zero_shot,6,nan,abs_rho_h,zero_shot_accuracy_degradation_pair
taylor,6,0.8285714285714286,taylor_predicted_loss_delta,loss_degradation_pair
frobenius_baseline,6,0.8857142857142857,frobenius_delta_sum,loss_degradation_pair
parameter_cosine_baseline,6,0.08571428571428572,abs_parameter_cosine,abs_additivity_error
activation_reconstruction_baseline,6,0.8285714285714286,activation_reconstruction_sum,loss_degradation_pair
trace_only_baseline,6,0.8857142857142857,trace_only_cost,loss_degradation_pair
order_gap,4,-0.3999999999999999,max_abs_conditional_hessian_overlap,abs_loss_gap
order_gap_r_first_overlap,4,0.3999999999999999,abs_r_first_conditional_hessian_overlap,abs_loss_gap
order_gap_non_r_first_overlap,4,-0.7999999999999998,abs_non_r_first_conditional_hessian_overlap,abs_loss_gap
spectrum_order_entropy,4,-0.3999999999999999,abs_first_spectral_entropy_delta,abs_loss_gap
spectrum_order_top1,4,0.0,abs_first_top1_energy_delta,abs_loss_gap
spectrum_order_stable_rank,4,0.19999999999999996,abs_first_stable_rank_delta,abs_loss_gap
order_disagreement,4,0.19999999999999996,final_weight_disagreement,abs_loss_gap
