layer,layer_family,layer_short,selected_order,selected_predicted_hessian_cost,selected_q_method,selected_r_method,selected_s_method,selection_family
model.layers.0.mlp.down_proj,mlp,L0:down_proj,rqs,6.353569507598877,rtn,whitened_svd,magnitude,hessian_layerwise
model.layers.0.mlp.up_proj,mlp,L0:up_proj,rsq,45.94552993774414,rtn,whitened_svd,magnitude,hessian_layerwise
model.layers.0.self_attn.o_proj,attention,L0:o_proj,rqs,7.59124755859375,rtn,whitened_svd,magnitude,hessian_layerwise
model.layers.0.self_attn.q_proj,attention,L0:q_proj,rqs,266.3572998046875,rtn,whitened_svd,magnitude,hessian_layerwise
model.layers.27.mlp.down_proj,mlp,L27:down_proj,rqs,2613.10986328125,rtn,whitened_svd,magnitude,hessian_layerwise
model.layers.27.mlp.up_proj,mlp,L27:up_proj,rqs,677.86083984375,rtn,whitened_svd,wanda,hessian_layerwise
model.layers.27.self_attn.o_proj,attention,L27:o_proj,rqs,330.94189453125,rtn,whitened_svd,magnitude,hessian_layerwise
model.layers.27.self_attn.q_proj,attention,L27:q_proj,qrs,95.74954223632812,rtn,svd,wanda,hessian_layerwise
model.layers.0.mlp.down_proj,mlp,L0:down_proj,qs,10.435361862182617,rtn,,magnitude,hessian_guided_spq
model.layers.0.mlp.up_proj,mlp,L0:up_proj,sq,56.005374908447266,rtn,,magnitude,hessian_guided_spq
model.layers.0.self_attn.o_proj,attention,L0:o_proj,rq,7.59124755859375,rtn,whitened_svd,,hessian_guided_spq
model.layers.0.self_attn.q_proj,attention,L0:q_proj,rq,266.3572998046875,rtn,whitened_svd,,hessian_guided_spq
model.layers.27.mlp.down_proj,mlp,L27:down_proj,sq,3759.76513671875,rtn,,magnitude,hessian_guided_spq
model.layers.27.mlp.up_proj,mlp,L27:up_proj,sq,958.3829345703125,rtn,,wanda,hessian_guided_spq
model.layers.27.self_attn.o_proj,attention,L27:o_proj,rq,330.94189453125,rtn,whitened_svd,,hessian_guided_spq
model.layers.27.self_attn.q_proj,attention,L27:q_proj,qr,95.75051879882812,rtn,svd,,hessian_guided_spq
