bits,clipped_ppl_drop_percent,family,keep_fraction,memory_gap_vs_target,memory_match_rule,nll,nominal_memory_ratio,order,perplexity,predicted_hessian_cost,q_method,r_method,rank_fraction,s_method,same_budget_feasible,selection_rule,signed_nll_delta,signed_nll_delta_percent,signed_ppl_delta,signed_ppl_delta_percent,strategy,target_memory_ratio,tokens,zero_shot_accuracy,zero_shot_accuracy_delta,zero_shot_accuracy_drop
,0.0,baseline,,0.742,,4.367035396515377,1.0,none,78.80964568284374,0.0,,,,,False,dense_uncompressed,0.0,0.0,0.0,0.0,baseline,0.258,126,0.5,0.0,-0.0
,0.24819014444759238,residual_stack,,-0.008000000000000007,,4.3695142231290305,0.25,q,79.00524345630262,12.114952482283115,selected,selected,,selected,True,Q base only,0.0024788266136530623,0.056762228573439356,0.19559777345888563,0.24819014444759238,residual_q_only,0.258,126,0.5,0.0,-0.0
,0.8913078369860599,residual_stack,,-0.00122916666666667,,4.375908987862723,0.25677083333333334,q+l_res,79.51208223111587,3.0478936582803726,selected,selected,,selected,True,best Q+L candidate under the target memory,0.008873591347345666,0.2031948574180608,0.7024365482721322,0.8913078369860599,residual_q_l_same_budget,0.258,126,0.5,0.0,-0.0
,0.4868345547253559,residual_stack,,-3.255208333441395e-07,,4.371891929989769,0.25799967447916666,q+s_res,79.19331827048444,3.489562638103962,selected,selected,,selected,True,best Q+S candidate under the target memory,0.004856533474391966,0.11120893314185587,0.383672587640703,0.4868345547253559,residual_q_s_same_budget,0.258,126,0.5,0.0,-0.0
,0.0,residual_stack,,-0.0007546183268229423,,4.357500833178324,0.25724538167317706,q+s_res+l_res,78.06180097627768,3.23119193315506,selected,selected,,selected,True,best Q+S+L split under the target memory,-0.009534563337053825,-0.218330342471275,-0.7478447065660561,-0.9489253505537029,residual_q_s_l_same_budget,0.258,126,0.5,0.0,-0.0
,2.777018345776617,residual_stack_selector,,-0.0004845377604166812,,4.394426981608073,0.2575154622395833,greedy_layerwise,80.99820400169786,3.334440842270851,selected,selected,,selected,True,filter_positive_conditional_rho_then_greedy_activation_capacity,0.02739158509269579,0.6272352432625706,2.1885583188541204,2.777018345776617,residual_stack_selector,0.258,126,0.5,0.0,-0.0
4,0.4180539768763033,sequential_qsr,0.91,-4.817708333332282e-05,grid_closest_under_target,4.371207222105965,0.2579518229166667,qsr,79.13911254078299,12.110615968704224,rtn,whitened_svd,0.81,wanda,True,memory_matched_fixed_sequential_qsr_no_metric_selection,0.004171825590587375,0.09552992389107338,0.3294668579392521,0.4180539768763033,sequential_qsr_matched_budget,0.258,126,0.5,0.0,-0.0
4,0.0,spq_like,0.79,0.0,grid_closest_under_target,4.3637339274088545,0.258,spq_layer_typed_rq_sq,78.5498871007336,12.219118095934391,rtn,whitened_svd,1.0,wanda,True,memory_matched_fixed_spq_like_recipe_no_metric_selection,-0.0033014691065229584,-0.07559977895203976,-0.2597585821101376,-0.3296025249948371,spq_like_rsq_no_lora_matched_budget,0.258,126,0.5,0.0,-0.0
4,2.1534956858000918,hessian_guided_spq,0.79,0.0,grid_closest_under_target,4.388341752309648,0.258,spq_layerwise,80.50680800261811,12.215445913374424,selected,selected,1.0,selected,True,memory_matched_hessian_guided_spq_fixed_budget_no_metric_selection,0.021306355794270537,0.4878906136476861,1.6971623197743781,2.1534956858000918,hessian_guided_spq_no_lora_matched_budget,0.258,126,0.5,0.0,-0.0
4,32.905723722777026,paper_dam_like,,-5.7291666666681174e-05,factor_rank_floor_under_target,4.651505243210566,0.2579427083333333,lowrank_then_quantized_factors,104.74252995813977,118.79099118709564,factor_rtn,plain_lq,per_layer_memory_matched_rank,,True,plain low-rank factor quantization before reconstruction,0.28446984669518827,6.514026584766808,25.932884275296033,32.905723722777026,paper_lq_factor_quant_matched_budget,0.258,126,0.5,0.0,-0.0
4,33.9591471835636,paper_dam_like,,-5.7291666666681174e-05,factor_rank_floor_under_target,4.659400092230903,0.2579427083333333,lowrank_then_quantized_factors,105.57272925512562,88.65433502197266,factor_rtn,dam_closed,per_layer_memory_matched_rank,,True,DAM Eq.21-style closed-form diagonal scaling,0.29236469571552526,6.694809388282359,26.763083572281886,33.9591471835636,paper_dam_closed_matched_budget,0.258,126,0.5,0.0,-0.0
4,29.37576884264003,paper_dam_like,,-5.7291666666681174e-05,factor_rank_floor_under_target,4.624586317274305,0.2579427083333333,lowrank_then_quantized_factors,101.96058502433955,81.32175242900848,factor_rtn,dam_activation_grid,per_layer_memory_matched_rank,,True,DAM calibration activation-grid diagonal scaling,0.25755092075892794,5.897614683051059,23.150939341495814,29.37576884264003,paper_dam_activation_grid_matched_budget,0.258,126,0.5,0.0,-0.0
