activation_gain_vs_q_only,activation_reconstruction_error,bits,budget_feasible,candidate_kind,candidate_memory_ratio,filter_pass,filter_rho_threshold,hessian_gain_vs_q_only,layer,layer_family,layer_parameter_count,layer_short,lowrank_memory_ratio,lowrank_projection_error,lowrank_rank,normalized_hessian_cost,positive_conditional_rho,predicted_hessian_cost,q_memory_ratio,q_method,q_residual_norm,r_method,residual_effective_rank,residual_memory_ratio,residual_stable_rank,rho_q_error_l_res,rho_q_error_s_res,rho_q_plus_l_error_s_res,rho_q_plus_s_error_l_res,rho_s_res_l_res,s_method,selected_by_fixed_kind,selected_by_greedy,selected_nominal_bits,selected_nominal_keep_fraction,selected_nominal_rank_fraction,selected_order,selected_predicted_hessian_cost,selected_q_method,selected_r_method,selected_s_method,selection_family,selector_score,sparse_keep_fraction,sparse_projection_error,stack_order,stack_residual_error,strategy,target_memory_ratio,token_risk_p95,unused_memory_ratio,weight_error,worst_token_risk
0.0,0.01307510208874778,4,True,q_only,0.25,True,0.3,0.0,gpt_neox.layers.0.attention.dense,attention,262144,L0:dense,0.0,1.0,0,0.013075154255060176,0.0,0.09092085063457489,0.25,rtn,1.574195146560669,,254.2292938232422,0.0,20.482646364185445,0.0,0.0,0.0,0.0,0.0,,True,False,,,,,,,,,residual_stack_validate,0.02440745286786946,0.0,1.0,q,1.0,residual_q_only,0.258,0.01743463985621929,0.008000000000000007,0.14639926247966867,0.02176007442176342
0.0,0.010700941261427777,4,True,q_only,0.25,True,0.3,0.0,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,1048576,L0:dense_4h_to_h,0.0,1.0,0,0.01070100899203078,0.0,0.14068526029586792,0.25,rtn,3.4768357276916504,,386.36346435546875,0.0,45.36590190643178,0.0,0.0,0.0,0.0,0.0,,True,False,,,,,,,,,residual_stack_validate,0.02032733137841432,0.0,1.0,q,1.0,residual_q_only,0.258,0.014972376637160778,0.008000000000000007,0.17018529929372003,0.017458776012063026
0.0,0.0046532496264197025,4,True,q_only,0.25,True,0.3,0.0,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,1048576,L0:dense_h_to_4h,0.0,1.0,0,0.004653285959837185,0.0,7.03004264831543,0.25,rtn,4.224691390991211,,446.7555847167969,0.0,219.92414573529294,0.0,0.0,0.0,0.0,0.0,,True,False,,,,,,,,,residual_stack_validate,0.015262206357178319,0.0,1.0,q,1.0,residual_q_only,0.258,0.01935659907758236,0.008000000000000007,0.13247735473413408,0.019817963242530823
0.0,0.03800681118893146,4,True,q_only,0.25,True,0.3,0.0,gpt_neox.layers.3.attention.dense,attention,262144,L3:dense,0.0,1.0,0,0.03800686847641727,0.0,0.37513217329978943,0.25,rtn,3.9296698570251465,,294.488037109375,0.0,97.41414476012541,0.0,0.0,0.0,0.0,0.0,,True,False,,,,,,,,,residual_stack_validate,0.07282993535223058,0.0,1.0,q,1.0,residual_q_only,0.258,0.05444350093603134,0.008000000000000007,0.2111884549667213,0.08315400034189224
0.00376247394208285,0.00931262814666493,4,True,q_l,0.2578125,True,0.3,0.0037624550075121763,gpt_neox.layers.0.attention.dense,attention,262144,L0:dense,0.0078125,0.9876758630205161,2,0.009312699247548,0.0,0.0647578239440918,0.25,rtn,1.574195146560669,whitened_svd,254.2292938232422,0.0078125,20.482646364185445,-0.5364286444872247,0.0,0.0,-0.5364286444872247,0.0,,True,False,,,,,,,,,residual_stack_validate,0.01828420745927735,0.0,1.0,q+l_res,0.9876758630205161,residual_q_l_same_budget,0.258,0.014218078926205635,0.0001875000000000071,0.14459532833428484,0.015857400372624397
0.002868073378240455,0.007832867883187322,4,True,q_l,0.25732421875,True,0.3,0.002868064675921291,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,1048576,L0:dense_4h_to_h,0.00732421875,0.9929046377999008,3,0.007832944316109489,0.0,0.10297905653715134,0.25,rtn,3.4768357276916504,whitened_svd,386.36346435546875,0.00732421875,45.36590190643178,-0.5177186610868902,0.0,0.0,-0.5177186610868902,0.0,,True,False,,,,,,,,,residual_stack_validate,0.014844984124878925,0.0,1.0,q+l_res,0.9929046377999008,residual_q_l_same_budget,0.258,0.010891054756939411,0.0006757812500000071,0.1689781930809771,0.01210649311542511
0.003341948822534249,0.0013113008038854533,4,True,q_l,0.25732421875,True,0.3,0.003341939653807171,gpt_neox.layers.0.mlp.dense_h_to_4h,mlp,1048576,L0:dense_h_to_4h,0.00732421875,0.9963237402114264,3,0.0013113463060300137,0.0,1.9811420440673828,0.25,rtn,4.224691390991211,whitened_svd,446.7555847167969,0.00732421875,219.92414573529294,-0.8474649353254662,0.0,0.0,-0.8474649353254662,0.0,,True,False,,,,,,,,,residual_stack_validate,0.011049149550388658,0.0,1.0,q+l_res,0.9963237402114264,residual_q_l_same_budget,0.258,0.018951158970594406,0.0006757812500000071,0.13199063261405142,0.019718429073691368
0.011234905398127326,0.026771905790804136,4,True,q_l,0.2578125,True,0.3,0.011234815909188851,gpt_neox.layers.3.attention.dense,attention,262144,L3:dense,0.0078125,0.9958244727806856,2,0.02677205256722842,0.0,0.2642432451248169,0.25,rtn,3.9296698570251465,whitened_svd,294.488037109375,0.0078125,97.41414476012541,-0.5436891546795042,0.0,0.0,-0.5436891546795042,0.0,,True,False,,,,,,,,,residual_stack_validate,0.054238283510251104,0.0,1.0,q+l_res,0.9958244727806856,residual_q_l_same_budget,0.258,0.044223934412002563,0.0001875000000000071,0.21030640118880964,0.07714135944843292
0.002220394906020065,0.010854707182727715,4,True,q_s,0.2579994201660156,True,0.3,0.002220391917226852,gpt_neox.layers.0.attention.dense,attention,262144,L0:dense,0.0,1.0,0,0.010854762337833324,0.0,0.0754808858036995,0.25,rtn,1.574195146560669,,254.2292938232422,0.007999420166015625,20.482646364185445,0.0,-0.4121388214598472,-0.4121388214598472,0.0,0.0,wanda,True,False,,,,,,,,,residual_stack_validate,0.02025728444728096,0.007999420166015625,0.9544182467259752,q+s_res,0.9544182467259752,residual_q_s_same_budget,0.258,0.01446324959397316,5.798339843821054e-07,0.1397261274178212,0.017575087025761604
0.001892378100089298,0.00880856316133848,4,True,q_s,0.2579994201660156,True,0.3,0.0018923780370591215,gpt_neox.layers.0.mlp.dense_4h_to_h,mlp,1048576,L0:dense_4h_to_h,0.0,1.0,0,0.008808630954971659,0.0,0.11580632627010345,0.25,rtn,3.4768357276916504,,386.36346435546875,0.007999420166015625,45.36590190643178,0.0,-0.4205251174091372,-0.4205251174091372,0.0,0.0,wanda,True,False,,,,,,,,,residual_stack_validate,0.017068846867775184,0.007999420166015625,0.9726429697894233,q+s_res,0.9726429697894233,residual_q_s_same_budget,0.258,0.012997115030884743,5.798339843821054e-07,0.1655295349195457,0.01607188768684864
