bits,clipped_ppl_drop_percent,family,keep_fraction,memory_gap_vs_target,memory_match_rule,nll,nominal_memory_ratio,order,perplexity,predicted_hessian_cost,q_method,r_method,rank_fraction,s_method,same_budget_feasible,selection_rule,signed_nll_delta,signed_nll_delta_percent,signed_ppl_delta,signed_ppl_delta_percent,strategy,target_memory_ratio,tokens,zero_shot_accuracy,zero_shot_accuracy_delta,zero_shot_accuracy_drop
,0.0,baseline,,0.742,,3.8193792918371776,1.0,none,45.575910199830844,0.0,,,,,False,dense_uncompressed,0.0,0.0,0.0,0.0,baseline,0.258,126,0.75,0.0,-0.0
,0.8428625317338962,residual_stack,,-0.008000000000000007,,3.8277725946335566,0.25,q,45.960052470401905,102.17846339941025,selected,selected,,selected,True,Q base only,0.008393302796378954,0.21975567638221266,0.3841422705710613,0.8428625317338962,residual_q_only,0.258,126,0.75,0.0,-0.0
,0.06313802572417206,residual_stack,,-4.971340388010281e-05,,3.820010472857763,0.2579502865961199,q+l_res,45.60468592973684,98.94052404165268,selected,selected,,selected,True,best Q+L candidate under the target memory,0.0006311810205854584,0.016525748619269785,0.02877572990599475,0.06313802572417206,residual_q_l_same_budget,0.258,126,0.75,0.0,-0.0
,0.0,residual_stack,,-7.96578758510691e-09,,3.8133041139632935,0.2579999920342124,q+s_res,45.29986779097895,77.16599547863007,selected,selected,,selected,True,best Q+S candidate under the target memory,-0.006075177873884119,-0.15906191581621812,-0.27604240885189313,-0.605676129432337,residual_q_s_same_budget,0.258,126,0.75,0.0,-0.0
,0.0,residual_stack,,-3.655370749283682e-05,,3.8132015409923734,0.25796344629250717,q+s_res+l_res,45.295221487254004,78.8980742096901,selected,selected,,selected,True,best Q+S+L split under the target memory,-0.0061777508448042084,-0.16174750850242525,-0.2806887125768398,-0.6158707776677197,residual_q_s_l_same_budget,0.258,126,0.75,0.0,-0.0
,0.0,residual_stack_selector,,-7.96578758510691e-09,,3.8133041139632935,0.2579999920342124,greedy_layerwise,45.29986779097895,77.16599547863007,selected,selected,,selected,True,filter_positive_conditional_rho_then_greedy_activation_capacity,-0.006075177873884119,-0.15906191581621812,-0.27604240885189313,-0.605676129432337,residual_stack_selector,0.258,126,0.75,0.0,-0.0
4,3.3707922077147403,sequential_qsr,0.91,-0.00013469328703707983,grid_closest_under_target,3.852531554206969,0.2578653067129629,qsr,47.11217942944181,193.4300920367241,rtn,svd,0.9,wanda,True,memory_matched_fixed_sequential_qsr_no_metric_selection,0.03315226236979152,0.8680013121672656,1.5362692296109657,3.3707922077147403,sequential_qsr_matched_budget,0.258,126,0.75,0.0,-0.0
4,0.1990222303722368,spq_like,0.9800000000000001,-4.137731481479445e-05,grid_closest_under_target,3.8213675362723216,0.2579586226851852,spq_layer_typed_rq_sq,45.666616392822995,102.38894248008728,rtn,svd,0.79,wanda,True,memory_matched_fixed_spq_like_recipe_no_metric_selection,0.0019882444351440043,0.05205674229300305,0.0907061929921511,0.1990222303722368,spq_like_rsq_no_lora_matched_budget,0.258,126,0.75,0.0,-0.0
4,0.6348102138451095,hessian_guided_spq,0.9800000000000001,-4.137731481479445e-05,grid_closest_under_target,3.8257073296440973,0.2579586226851852,spq_layerwise,45.865230732832245,102.17541980743408,selected,selected,0.79,selected,True,memory_matched_hessian_guided_spq_fixed_budget_no_metric_selection,0.006328037806919706,0.1656823615408939,0.28932053300140126,0.6348102138451095,hessian_guided_spq_no_lora_matched_budget,0.258,126,0.75,0.0,-0.0
4,9.958562453263024,paper_dam_like,,-2.387841710760341e-05,factor_rank_floor_under_target,3.914312695700025,0.2579761215828924,lowrank_then_quantized_factors,50.11461568072407,293.97916316986084,factor_rtn,plain_lq,per_layer_memory_matched_rank,,True,plain low-rank factor quantization before reconstruction,0.09493340386284732,2.485571518538107,4.538705480893228,9.958562453263024,paper_lq_factor_quant_matched_budget,0.258,126,0.75,0.0,-0.0
4,8.979839703328366,paper_dam_like,,-2.387841710760341e-05,factor_rank_floor_under_target,3.905372014121404,0.2579761215828924,lowrank_then_quantized_factors,49.668553879108536,297.910178899765,factor_rtn,dam_closed,per_layer_memory_matched_rank,,True,DAM Eq.21-style closed-form diagonal scaling,0.08599272228422628,2.251484225931971,4.092643679277693,8.979839703328366,paper_dam_closed_matched_budget,0.258,126,0.75,0.0,-0.0
4,9.484308223789048,paper_dam_like,,-2.387841710760341e-05,factor_rank_floor_under_target,3.9099903409443204,0.2579761215828924,lowrank_then_quantized_factors,49.89846999898011,291.3083497285843,factor_rtn,dam_activation_grid,per_layer_memory_matched_rank,,True,DAM calibration activation-grid diagonal scaling,0.0906110491071428,2.37240248175398,4.322559799149268,9.484308223789048,paper_dam_activation_grid_matched_budget,0.258,126,0.75,0.0,-0.0
