block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
,2.0018618506795756,2.0,False,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,6874880,655,0.6162822674268279,
16,16.0,2.0,False,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9682182703296197,
64,35.0,2.0,False,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9928578695453842,2
,4.009845603043186,4.0,False,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,3432192,327,0.7981807217076441,
16,16.0,4.0,False,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9682182703296197,
64,35.0,4.0,False,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9928578695453842,2
,8.044291485859643,8.0,False,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,1710848,163,0.8908337871436908,
16,16.0,8.0,False,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9682182703296197,
64,35.0,8.0,False,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9928578695453842,2
,16.187895212285458,16.0,False,8960,0,low_rank,down_proj,model.layers.0.mlp.down_proj,1536,13762560,850176,81,0.9389088249039985,
16,16.0,16.0,False,8960,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,1536,13762560,860160,0,0.9682182703296197,
64,35.0,16.0,False,8960,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,1536,13762560,393216,64,0.9928578695453842,2
,2.0018618506795756,2.0,False,1536,0,low_rank,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,6874880,655,0.468896091846987,
16,16.0,2.0,False,1536,0,block_circulant,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,860160,0,0.9683162767693271,
64,6.0,2.0,False,1536,0,monarch_like,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,2293760,64,0.957451152675954,2
,4.009845603043186,4.0,False,1536,0,low_rank,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,3432192,327,0.6892027146754086,
16,16.0,4.0,False,1536,0,block_circulant,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,860160,0,0.9683162767693271,
64,6.0,4.0,False,1536,0,monarch_like,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,2293760,64,0.957451152675954,2
,8.044291485859643,8.0,False,1536,0,low_rank,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,1710848,163,0.8166257703581651,
16,16.0,8.0,False,1536,0,block_circulant,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,860160,0,0.9683162767693271,
64,8.0,8.0,False,1536,0,monarch_like,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,1720320,48,0.9579160321250365,2
,16.187895212285458,16.0,False,1536,0,low_rank,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,850176,81,0.8894134628987449,
16,16.0,16.0,False,1536,0,block_circulant,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,860160,0,0.9683162767693271,
64,16.0,16.0,False,1536,0,monarch_like,gate_proj,model.layers.0.mlp.gate_proj,8960,13762560,860160,24,0.9657206671289805,2
,2.0131061598951505,2.0,True,1536,0,low_rank,k_proj,model.layers.0.self_attn.k_proj,256,393216,195328,109,0.5222996109191143,
16,16.0,2.0,True,1536,0,block_circulant,k_proj,model.layers.0.self_attn.k_proj,256,393216,24576,0,0.9680944058704913,
64,6.0,2.0,True,1536,0,monarch_like,k_proj,model.layers.0.self_attn.k_proj,256,393216,65536,64,0.9579170831527261,2
,4.063492063492063,4.0,True,1536,0,low_rank,k_proj,model.layers.0.self_attn.k_proj,256,393216,96768,54,0.7515432553949698,
16,16.0,4.0,True,1536,0,block_circulant,k_proj,model.layers.0.self_attn.k_proj,256,393216,24576,0,0.9680944058704913,
64,6.0,4.0,True,1536,0,monarch_like,k_proj,model.layers.0.self_attn.k_proj,256,393216,65536,64,0.9579170831527261,2
,8.126984126984127,8.0,True,1536,0,low_rank,k_proj,model.layers.0.self_attn.k_proj,256,393216,48384,27,0.8673075500073839,
16,16.0,8.0,True,1536,0,block_circulant,k_proj,model.layers.0.self_attn.k_proj,256,393216,24576,0,0.9680944058704913,
64,8.0,8.0,True,1536,0,monarch_like,k_proj,model.layers.0.self_attn.k_proj,256,393216,49152,48,0.9582883555527146,2
