compression_ratio_target,effective_replaced_compression,modules_replaced,nll,params_original_replaced,params_residual_replaced,params_structured_replaced,perplexity,residual_fraction,stage,tokens
1.0,,,2.628133672428882,,,,13.847901050230798,0.0,baseline,4064
2.0,2.0018618506795756,down_proj,9.49062440526767,385351680,0,192496640,13235.056786298439,0.0,down_proj,4064
2.0,2.0018618506795756,"down_proj,gate_proj,up_proj",10.240168924406758,1156055040,0,577489920,28005.8563993521,0.0,up_gate_proj,4064
2.0,2.00176112148216,"down_proj,gate_proj,up_proj,o_proj",15.370440175214151,1222115328,0,610520064,4734753.268475611,0.0,o_proj,4064
2.0,2.0018618506795756,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",14.434904924527867,1310195712,0,654488576,1857802.553719348,0.0,qkv_proj,4064
2.0,1.962903461369943,down_proj,9.530938125970795,385351680,3820544,192496640,13779.511940378596,0.01,down_proj,4064
2.0,1.962903461369943,"down_proj,gate_proj,up_proj",10.114940733421506,1156055040,11461632,577489920,24709.442411275155,0.01,up_gate_proj,4064
2.0,1.9629731970157502,"down_proj,gate_proj,up_proj,o_proj",15.147515034112404,1222115328,12063744,610520064,3788629.9999057404,0.01,o_proj,4064
2.0,1.9632660952503707,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",13.874645503487175,1310195712,12866560,654488576,1060918.39726865,0.01,qkv_proj,4064
2.0,1.9254324701837326,down_proj,9.55324216527263,385351680,7641088,192496640,14090.303789027745,0.02,down_proj,4064
2.0,1.9254324701837326,"down_proj,gate_proj,up_proj",10.388824943482406,1156055040,22923264,577489920,32494.46166479711,0.02,up_gate_proj,4064
2.0,1.9253989226547414,"down_proj,gate_proj,up_proj,o_proj",15.01789997130867,1222115328,24213504,610520064,3328059.5397353186,0.02,o_proj,4064
2.0,1.9256434297995175,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",14.106517311156265,1310195712,25905152,654488576,1337773.6181616145,0.02,qkv_proj,4064
2.0,1.8546244868389279,down_proj,9.270008868119849,385351680,15282176,192496640,10614.846019740979,0.04,down_proj,4064
2.0,1.8546244868389279,"down_proj,gate_proj,up_proj",10.11857989453894,1156055040,45846528,577489920,24799.527871663584,0.04,up_gate_proj,4064
2.0,1.8546486962764743,"down_proj,gate_proj,up_proj,o_proj",14.439830329474502,1222115328,48427008,610520064,1866975.555436876,0.04,o_proj,4064
2.0,1.855015984168062,"down_proj,gate_proj,up_proj,o_proj,k_proj,q_proj,v_proj",14.621729572926919,1310195712,51810304,654488576,2239424.727857107,0.04,qkv_proj,4064
4.0,4.009845603043186,down_proj,10.632681328480638,385351680,0,96101376,41468.16603976508,0.0,down_proj,4064
4.0,4.009845603043186,"down_proj,gate_proj,up_proj",10.507294662355438,1156055040,0,288304128,36581.38057027054,0.0,up_gate_proj,4064
