accuracy,compression_ratio_target,examples,residual_fraction,stage,status,task
0.875,1.0,16,0.0,baseline,ok,piqa
0.8125,1.0,16,0.0,baseline,ok,arc_easy
0.375,1.0,16,0.0,baseline,ok,hellaswag
0.625,2.0,16,0.0,down_proj,ok,piqa
0.25,2.0,16,0.0,down_proj,ok,arc_easy
0.1875,2.0,16,0.0,down_proj,ok,hellaswag
0.5625,2.0,16,0.0,up_gate_proj,ok,piqa
0.125,2.0,16,0.0,up_gate_proj,ok,arc_easy
0.125,2.0,16,0.0,up_gate_proj,ok,hellaswag
0.5,2.0,16,0.0,o_proj,ok,piqa
0.0,2.0,16,0.0,o_proj,ok,arc_easy
0.1875,2.0,16,0.0,o_proj,ok,hellaswag
0.4375,2.0,16,0.0,qkv_proj,ok,piqa
0.3125,2.0,16,0.0,qkv_proj,ok,arc_easy
0.3125,2.0,16,0.0,qkv_proj,ok,hellaswag
0.625,2.0,16,0.01,down_proj,ok,piqa
0.25,2.0,16,0.01,down_proj,ok,arc_easy
0.125,2.0,16,0.01,down_proj,ok,hellaswag
0.5,2.0,16,0.01,up_gate_proj,ok,piqa
0.25,2.0,16,0.01,up_gate_proj,ok,arc_easy
0.0625,2.0,16,0.01,up_gate_proj,ok,hellaswag
0.625,2.0,16,0.01,o_proj,ok,piqa
0.25,2.0,16,0.01,o_proj,ok,arc_easy
0.125,2.0,16,0.01,o_proj,ok,hellaswag
0.375,2.0,16,0.01,qkv_proj,ok,piqa
0.125,2.0,16,0.01,qkv_proj,ok,arc_easy
0.3125,2.0,16,0.01,qkv_proj,ok,hellaswag
0.5625,2.0,16,0.02,down_proj,ok,piqa
0.1875,2.0,16,0.02,down_proj,ok,arc_easy
0.125,2.0,16,0.02,down_proj,ok,hellaswag
0.625,2.0,16,0.02,up_gate_proj,ok,piqa
0.3125,2.0,16,0.02,up_gate_proj,ok,arc_easy
0.125,2.0,16,0.02,up_gate_proj,ok,hellaswag
0.625,2.0,16,0.02,o_proj,ok,piqa
0.25,2.0,16,0.02,o_proj,ok,arc_easy
0.125,2.0,16,0.02,o_proj,ok,hellaswag
0.3125,2.0,16,0.02,qkv_proj,ok,piqa
0.375,2.0,16,0.02,qkv_proj,ok,arc_easy
0.125,2.0,16,0.02,qkv_proj,ok,hellaswag
0.5625,2.0,16,0.04,down_proj,ok,piqa
0.25,2.0,16,0.04,down_proj,ok,arc_easy
0.125,2.0,16,0.04,down_proj,ok,hellaswag
0.5,2.0,16,0.04,up_gate_proj,ok,piqa
0.4375,2.0,16,0.04,up_gate_proj,ok,arc_easy
0.125,2.0,16,0.04,up_gate_proj,ok,hellaswag
0.375,2.0,16,0.04,o_proj,ok,piqa
0.125,2.0,16,0.04,o_proj,ok,arc_easy
0.25,2.0,16,0.04,o_proj,ok,hellaswag
0.3125,2.0,16,0.04,qkv_proj,ok,piqa
0.3125,2.0,16,0.04,qkv_proj,ok,arc_easy
0.125,2.0,16,0.04,qkv_proj,ok,hellaswag
0.875,4.0,16,0.0,down_proj,ok,piqa
0.375,4.0,16,0.0,down_proj,ok,arc_easy
0.3125,4.0,16,0.0,down_proj,ok,hellaswag
0.625,4.0,16,0.0,up_gate_proj,ok,piqa
0.375,4.0,16,0.0,up_gate_proj,ok,arc_easy
0.3125,4.0,16,0.0,up_gate_proj,ok,hellaswag
0.625,4.0,16,0.0,o_proj,ok,piqa
0.25,4.0,16,0.0,o_proj,ok,arc_easy
0.375,4.0,16,0.0,o_proj,ok,hellaswag
0.5625,4.0,16,0.0,qkv_proj,ok,piqa
0.25,4.0,16,0.0,qkv_proj,ok,arc_easy
0.25,4.0,16,0.0,qkv_proj,ok,hellaswag
0.75,4.0,16,0.01,down_proj,ok,piqa
0.25,4.0,16,0.01,down_proj,ok,arc_easy
0.0625,4.0,16,0.01,down_proj,ok,hellaswag
0.8125,4.0,16,0.01,up_gate_proj,ok,piqa
0.375,4.0,16,0.01,up_gate_proj,ok,arc_easy
0.25,4.0,16,0.01,up_gate_proj,ok,hellaswag
0.6875,4.0,16,0.01,o_proj,ok,piqa
0.1875,4.0,16,0.01,o_proj,ok,arc_easy
0.4375,4.0,16,0.01,o_proj,ok,hellaswag
0.4375,4.0,16,0.01,qkv_proj,ok,piqa
0.25,4.0,16,0.01,qkv_proj,ok,arc_easy
0.3125,4.0,16,0.01,qkv_proj,ok,hellaswag
0.8125,4.0,16,0.02,down_proj,ok,piqa
0.375,4.0,16,0.02,down_proj,ok,arc_easy
0.125,4.0,16,0.02,down_proj,ok,hellaswag
0.8125,4.0,16,0.02,up_gate_proj,ok,piqa
0.375,4.0,16,0.02,up_gate_proj,ok,arc_easy
0.25,4.0,16,0.02,up_gate_proj,ok,hellaswag
0.625,4.0,16,0.02,o_proj,ok,piqa
0.25,4.0,16,0.02,o_proj,ok,arc_easy
0.375,4.0,16,0.02,o_proj,ok,hellaswag
0.4375,4.0,16,0.02,qkv_proj,ok,piqa
0.25,4.0,16,0.02,qkv_proj,ok,arc_easy
0.25,4.0,16,0.02,qkv_proj,ok,hellaswag
0.6875,4.0,16,0.04,down_proj,ok,piqa
0.25,4.0,16,0.04,down_proj,ok,arc_easy
0.1875,4.0,16,0.04,down_proj,ok,hellaswag
0.6875,4.0,16,0.04,up_gate_proj,ok,piqa
0.375,4.0,16,0.04,up_gate_proj,ok,arc_easy
0.125,4.0,16,0.04,up_gate_proj,ok,hellaswag
0.5625,4.0,16,0.04,o_proj,ok,piqa
0.3125,4.0,16,0.04,o_proj,ok,arc_easy
0.1875,4.0,16,0.04,o_proj,ok,hellaswag
0.5625,4.0,16,0.04,qkv_proj,ok,piqa
0.1875,4.0,16,0.04,qkv_proj,ok,arc_easy
0.25,4.0,16,0.04,qkv_proj,ok,hellaswag
0.625,8.0,16,0.0,down_proj,ok,piqa
0.3125,8.0,16,0.0,down_proj,ok,arc_easy
0.3125,8.0,16,0.0,down_proj,ok,hellaswag
0.625,8.0,16,0.0,up_gate_proj,ok,piqa
0.3125,8.0,16,0.0,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.0,up_gate_proj,ok,hellaswag
0.4375,8.0,16,0.0,o_proj,ok,piqa
0.4375,8.0,16,0.0,o_proj,ok,arc_easy
0.375,8.0,16,0.0,o_proj,ok,hellaswag
0.25,8.0,16,0.0,qkv_proj,ok,piqa
0.3125,8.0,16,0.0,qkv_proj,ok,arc_easy
0.4375,8.0,16,0.0,qkv_proj,ok,hellaswag
0.625,8.0,16,0.01,down_proj,ok,piqa
0.25,8.0,16,0.01,down_proj,ok,arc_easy
0.1875,8.0,16,0.01,down_proj,ok,hellaswag
0.75,8.0,16,0.01,up_gate_proj,ok,piqa
0.375,8.0,16,0.01,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.01,up_gate_proj,ok,hellaswag
0.375,8.0,16,0.01,o_proj,ok,piqa
0.3125,8.0,16,0.01,o_proj,ok,arc_easy
0.375,8.0,16,0.01,o_proj,ok,hellaswag
0.25,8.0,16,0.01,qkv_proj,ok,piqa
0.25,8.0,16,0.01,qkv_proj,ok,arc_easy
0.25,8.0,16,0.01,qkv_proj,ok,hellaswag
0.75,8.0,16,0.02,down_proj,ok,piqa
0.125,8.0,16,0.02,down_proj,ok,arc_easy
0.125,8.0,16,0.02,down_proj,ok,hellaswag
0.75,8.0,16,0.02,up_gate_proj,ok,piqa
0.375,8.0,16,0.02,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.02,up_gate_proj,ok,hellaswag
0.375,8.0,16,0.02,o_proj,ok,piqa
0.125,8.0,16,0.02,o_proj,ok,arc_easy
0.1875,8.0,16,0.02,o_proj,ok,hellaswag
0.375,8.0,16,0.02,qkv_proj,ok,piqa
0.125,8.0,16,0.02,qkv_proj,ok,arc_easy
0.1875,8.0,16,0.02,qkv_proj,ok,hellaswag
0.625,8.0,16,0.04,down_proj,ok,piqa
0.1875,8.0,16,0.04,down_proj,ok,arc_easy
0.1875,8.0,16,0.04,down_proj,ok,hellaswag
0.75,8.0,16,0.04,up_gate_proj,ok,piqa
0.3125,8.0,16,0.04,up_gate_proj,ok,arc_easy
0.1875,8.0,16,0.04,up_gate_proj,ok,hellaswag
