bit_width,cols,layer,module_type,name,relative_quantization_error,rotation_type,rows,target
4,8960,0,down_proj,model.layers.0.mlp.down_proj,0.1869169078793088,none,1536,rotated_weight
3,8960,0,down_proj,model.layers.0.mlp.down_proj,0.4266379845414898,none,1536,rotated_weight
2,8960,0,down_proj,model.layers.0.mlp.down_proj,0.936635696450527,none,1536,rotated_weight
4,8960,0,down_proj,model.layers.0.mlp.down_proj,0.16572391698156075,hadamard,1536,rotated_weight
3,8960,0,down_proj,model.layers.0.mlp.down_proj,0.3866114263439889,hadamard,1536,rotated_weight
2,8960,0,down_proj,model.layers.0.mlp.down_proj,0.9275786583271951,hadamard,1536,rotated_weight
4,8960,0,down_proj,model.layers.0.mlp.down_proj,0.16796062039730147,learned_butterfly,1536,rotated_weight
3,8960,0,down_proj,model.layers.0.mlp.down_proj,0.39171848838745355,learned_butterfly,1536,rotated_weight
2,8960,0,down_proj,model.layers.0.mlp.down_proj,0.9286853325547871,learned_butterfly,1536,rotated_weight
4,8960,14,down_proj,model.layers.14.mlp.down_proj,0.24501738353735758,none,1536,rotated_weight
3,8960,14,down_proj,model.layers.14.mlp.down_proj,0.5262425059218362,none,1536,rotated_weight
2,8960,14,down_proj,model.layers.14.mlp.down_proj,0.9581510857996938,none,1536,rotated_weight
4,8960,14,down_proj,model.layers.14.mlp.down_proj,0.16557756552977984,hadamard,1536,rotated_weight
3,8960,14,down_proj,model.layers.14.mlp.down_proj,0.3862656247080417,hadamard,1536,rotated_weight
2,8960,14,down_proj,model.layers.14.mlp.down_proj,0.9269195181705127,hadamard,1536,rotated_weight
4,8960,14,down_proj,model.layers.14.mlp.down_proj,0.17872511246977882,learned_butterfly,1536,rotated_weight
3,8960,14,down_proj,model.layers.14.mlp.down_proj,0.4140423959989119,learned_butterfly,1536,rotated_weight
2,8960,14,down_proj,model.layers.14.mlp.down_proj,0.9359965025233266,learned_butterfly,1536,rotated_weight
4,8960,27,down_proj,model.layers.27.mlp.down_proj,0.23502352773503168,none,1536,rotated_weight
3,8960,27,down_proj,model.layers.27.mlp.down_proj,0.49657479752145794,none,1536,rotated_weight
2,8960,27,down_proj,model.layers.27.mlp.down_proj,0.9481630145279196,none,1536,rotated_weight
4,8960,27,down_proj,model.layers.27.mlp.down_proj,0.16493383492206767,hadamard,1536,rotated_weight
3,8960,27,down_proj,model.layers.27.mlp.down_proj,0.3847806142151266,hadamard,1536,rotated_weight
2,8960,27,down_proj,model.layers.27.mlp.down_proj,0.9258253157503321,hadamard,1536,rotated_weight
4,8960,27,down_proj,model.layers.27.mlp.down_proj,0.17982262371888047,learned_butterfly,1536,rotated_weight
3,8960,27,down_proj,model.layers.27.mlp.down_proj,0.4146871998823718,learned_butterfly,1536,rotated_weight
2,8960,27,down_proj,model.layers.27.mlp.down_proj,0.9345285079359041,learned_butterfly,1536,rotated_weight
