bit_width,bulk_params,cols,compression_ratio_target,layer,method,module_type,name,relative_bulk_quantization_error,relative_structured_quantized_error,residual_fraction,residual_params,residual_precision,residual_type,rotation_type,rows
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.1736754077732287,0.6312798013616375,0.0,0,float16,none,none,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.40242929420299306,0.6927393409938696,0.0,0,float16,none,none,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9310039295786727,0.9553916588256639,0.0,0,float16,none,none,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9691146621502449,0.0,0,float16,none,none,1536
3,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9730845658531413,0.0,0,float16,none,none,1536
2,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9956377316616171,0.0,0,float16,none,none,1536
4,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.992963399054007,0.0,0,float16,none,none,1536
3,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9934344074812388,0.0,0,float16,none,none,1536
2,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.997119409576803,0.0,0,float16,none,none,1536
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.1736754077732287,0.624206131001036,0.01,136448,float16,low_rank,none,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.40242929420299306,0.6862897278863198,0.01,136448,float16,low_rank,none,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9310039295786727,0.9507954693041593,0.01,136448,float16,low_rank,none,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9540144887682678,0.01,136448,float16,low_rank,none,1536
3,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9580601818495433,0.01,136448,float16,low_rank,none,1536
2,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.9278096503247081,0.9802277991447265,0.01,136448,float16,low_rank,none,1536
4,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.12134027617624117,0.9769239906316479,0.01,136448,float16,low_rank,none,1536
3,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.2836504435453642,0.9774015417826525,0.01,136448,float16,low_rank,none,1536
2,393216,8960,2.0,0,monarch_like,down_proj,model.layers.0.mlp.down_proj,0.7718897822149712,0.981087308378952,0.01,136448,float16,low_rank,none,1536
4,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.1736754077732287,0.6171420622758579,0.02,272896,float16,low_rank,none,1536
3,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.40242929420299306,0.6798719681689013,0.02,272896,float16,low_rank,none,1536
2,6874880,8960,2.0,0,low_rank,down_proj,model.layers.0.mlp.down_proj,0.9310039295786727,0.9462024811088801,0.02,272896,float16,low_rank,none,1536
4,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.16661944324029224,0.9445881493853987,0.02,272896,float16,low_rank,none,1536
3,860160,8960,2.0,0,block_circulant,down_proj,model.layers.0.mlp.down_proj,0.3886158325535791,0.9486677611749296,0.02,272896,float16,low_rank,none,1536
