adapter_params,budget_per_module,method,modules,nll,perplexity,rank,requested_rank,task_condition,tokens,train_loss_first,train_loss_last,train_steps,within_budget
53760,65536,structured,down_proj,1.904417984128937,6.715497963605145,,,natural,127,2.0345776081085205,2.0345776081085205,1,True
60416,65536,structured_lora,down_proj,1.947412806233083,7.010526507129417,4,4,natural,127,2.0345776081085205,2.0345776081085205,1,True
62720,65536,structured_lora,down_proj,1.9630273533618356,7.120851801866848,5,8,natural,127,2.0345776081085205,2.0345776081085205,1,True
62720,65536,structured_lora,down_proj,1.9609627310685285,7.106165098953543,5,16,natural,127,2.0345776081085205,2.0345776081085205,1,True
41984,65536,lora,down_proj,2.040419450895054,7.6938357084248326,4,4,natural,127,2.0345776081085205,2.0345776081085205,1,True
62976,65536,lora,down_proj,2.03638344111405,7.662845891920503,6,8,natural,127,2.0345776081085205,2.0345776081085205,1,True
62976,65536,lora,down_proj,2.036423570527805,7.663153403603931,6,16,natural,127,2.0345776081085205,2.0345776081085205,1,True
42000,65536,mora,down_proj,2.03603645384781,7.660187443223444,4,4,natural,127,2.0345776081085205,2.0345776081085205,1,True
63012,65536,mora,down_proj,2.0362611305056593,7.6619087018927665,6,8,natural,127,2.0345776081085205,2.0345776081085205,1,True
63012,65536,mora,down_proj,2.0379698745847685,7.675012135040415,6,16,natural,127,2.0345776081085205,2.0345776081085205,1,True
65536,65536,fourierft,down_proj,2.0302556556040847,7.616033191476323,,,natural,127,2.0345776081085205,2.0345776081085205,1,True
53760,65536,bca,down_proj,1.904417984128937,6.715497963605145,,,natural,127,2.0345776081085205,2.0345776081085205,1,True
