batch_index,evidence_role,nll,nll_sum,perplexity,sequence_index,strategy,tokens,window_index
0,final_test,4.800210275957661,148.8065185546875,121.53597092468372,0,dense,31,0
1,final_test,4.3880689067225305,136.03013610839844,80.48484507170234,0,dense,31,1
0,final_test,4.776741273941532,148.0789794921875,118.71685331140908,0,Q,31,0
1,final_test,4.368681876890121,135.42913818359375,78.93951109889282,0,Q,31,1
0,final_test,4.802578833795363,148.87994384765625,121.82417708291962,0,Q_global_scale,31,0
1,final_test,4.343308971774194,134.642578125,76.96178283112246,0,Q_global_scale,31,1
0,final_test,4.758984965662802,147.52853393554688,116.62748489648581,0,Q+S,31,0
1,final_test,4.385148571383569,135.93960571289062,80.25014520235023,0,Q+S,31,1
0,final_test,4.892007150957661,151.6522216796875,133.22069993607218,0,Q+S_OBS,31,0
1,final_test,4.3456927884009575,134.7164764404297,77.14546445333104,0,Q+S_OBS,31,1
0,final_test,4.8214126094695064,149.4637908935547,124.14032878323913,0,Q+L,31,0
1,final_test,4.311368880733367,133.65243530273438,74.54245886784999,0,Q+L,31,1
0,final_test,4.891067997101815,151.62310791015625,133.0956439346534,0,Q+S_OBS_global,31,0
1,final_test,4.3155345301474295,133.7815704345703,74.85362427098373,0,Q+S_OBS_global,31,1
0,final_test,4.8214126094695064,149.4637908935547,124.14032878323913,0,Q+L_global,31,0
1,final_test,4.311368880733367,133.65243530273438,74.54245886784999,0,Q+L_global,31,1
0,final_test,4.8214126094695064,149.4637908935547,124.14032878323913,0,Q+S_OBS_or_L_global,31,0
1,final_test,4.311368880733367,133.65243530273438,74.54245886784999,0,Q+S_OBS_or_L_global,31,1
0,final_test,4.8214126094695064,149.4637908935547,124.14032878323913,0,Q+S+L_QL_budget,31,0
1,final_test,4.311368880733367,133.65243530273438,74.54245886784999,0,Q+S+L_QL_budget,31,1
0,final_test,4.761990454889113,147.6217041015625,116.97853481996361,0,Q+S+L_QL_budget_component_scale,31,0
1,final_test,4.324134088331653,134.04815673828125,75.5001081218663,0,Q+S+L_QL_budget_component_scale,31,1
0,final_test,4.800723168157762,148.82241821289062,121.59832176446557,0,Q+S+L,31,0
1,final_test,4.394009497857863,136.21429443359375,80.96439562544583,0,Q+S+L,31,1
0,final_test,4.827728271484375,149.65957641601562,124.926838191718,0,Q+S_OBS+L,31,0
1,final_test,4.301611131237399,133.34994506835938,73.81862944369921,0,Q+S_OBS+L,31,1
0,final_test,4.801048032699093,148.83248901367188,121.63783116474632,0,Q+S+L_component_scale,31,0
1,final_test,4.40448490265877,136.53903198242188,81.816988274119,0,Q+S+L_component_scale,31,1
